time,frame_type,path_id,frame_size,ack_delay,acked_ranges,largest_acked,destination_connection_id,mp_ack_ranges,relative_time,time_bucket
10243.446,mp_ack,0,16,0.038,1,0,,0.0,10.235570678599998,9
10279.959,mp_ack,0,16,0.051,1,0,,0.0,10.2720836786,9
10303.812,mp_ack,0,16,0.04,1,0,,0.0,10.295936678599999,9
10338.838,mp_ack,0,16,0.044,1,0,,0.0,10.330962678599999,9
10371.308,mp_ack,0,16,0.035,1,0,,0.0,10.3634326786,9
10397.901,mp_ack,0,16,0.035,1,0,,0.0,10.390025678599999,9
10432.396,mp_ack,0,16,0.033,1,0,,0.0,10.4245206786,9
10461.133,mp_ack,0,16,0.038,1,0,,0.0,10.453257678599998,9
10501.435,mp_ack,0,16,0.05,1,0,,0.0,10.493559678599999,9
10531.279,mp_ack,0,16,0.035,1,0,,0.0,10.5234036786,9
10560.738,mp_ack,0,16,0.04,1,0,,0.0,10.552862678599999,9
10593.744,mp_ack,0,16,0.031,1,0,,0.0,10.5858686786,9
10622.282,mp_ack,0,16,0.049,1,0,,0.0,10.614406678599998,9
10650.718,mp_ack,0,16,0.038,1,0,,0.0,10.6428426786,9
10680.192,mp_ack,0,16,0.033,1,0,,0.0,10.672316678599998,9
10712.263,mp_ack,0,16,0.035,1,0,,0.0,10.7043876786,9
10745.202,mp_ack,0,16,0.029,1,0,,0.0,10.737326678599999,9
10772.034,mp_ack,0,16,0.045,1,0,,0.0,10.7641586786,9
10804.434,mp_ack,0,16,0.027,1,0,,0.0,10.796558678599999,9
10832.334,mp_ack,0,16,0.03,1,0,,0.0,10.8244586786,9
10862.93,mp_ack,0,16,0.034,1,0,,0.0,10.8550546786,9
10893.351,mp_ack,0,16,0.038,1,0,,0.0,10.8854756786,9
10925.086,mp_ack,0,16,0.034,1,0,,0.0,10.917210678599998,9
10950.639,mp_ack,0,16,0.031,1,0,,0.0,10.942763678599999,9
10980.646,mp_ack,0,16,0.029,1,0,,0.0,10.9727706786,10
11008.508,mp_ack,0,16,0.032,1,0,,0.0,11.000632678599999,10
11038.0205,mp_ack,0,16,0.031,1,0,,0.0,11.0301451786,10
11064.526,mp_ack,0,16,0.031,1,0,,0.0,11.056650678599999,10
11093.49,mp_ack,0,16,0.021,1,0,,0.0,11.085614678599999,10
11125.377,mp_ack,0,16,0.03,1,0,,0.0,11.1175016786,10
11155.978,mp_ack,0,16,0.024,1,0,,0.0,11.148102678599999,10
11183.292,mp_ack,0,16,0.064,1,0,,0.0,11.1754166786,10
11214.415,mp_ack,0,16,0.025,1,0,,0.0,11.2065396786,10
11244.633,mp_ack,0,16,0.026,1,0,,0.0,11.236757678599998,10
11276.351,mp_ack,0,16,0.021,1,0,,0.0,11.2684756786,10
11311.073,mp_ack,0,16,0.024,1,0,,0.0,11.3031976786,10
11336.734,mp_ack,0,16,0.025,1,0,,0.0,11.3288586786,10
11365.892,mp_ack,0,16,0.051,1,0,,0.0,11.358016678599999,10
11395.218,mp_ack,0,16,0.026,1,0,,0.0,11.3873426786,10
11423.746,mp_ack,0,16,0.027,1,0,,0.0,11.4158706786,10
11454.882,mp_ack,0,16,0.032,1,0,,0.0,11.4470066786,10
11481.044,mp_ack,0,16,0.025,1,0,,0.0,11.473168678599999,10
11514.976,mp_ack,0,16,0.022,1,0,,0.0,11.5071006786,10
11540.601,mp_ack,0,16,0.029,1,0,,0.0,11.5327256786,10
11569.933,mp_ack,0,16,0.031,1,0,,0.0,11.5620576786,10
11598.81,mp_ack,0,16,0.025,1,0,,0.0,11.590934678599998,10
11626.266,mp_ack,0,16,0.024,1,0,,0.0,11.618390678599999,10
11659.606,mp_ack,0,16,0.021,1,0,,0.0,11.6517306786,10
11686.582,mp_ack,0,16,0.019,1,0,,0.0,11.6787066786,10
11722.773,mp_ack,0,16,0.052,1,0,,0.0,11.714897678599998,10
11756.536,mp_ack,0,16,0.028,1,0,,0.0,11.748660678599999,10
11784.481,mp_ack,0,16,0.021,1,0,,0.0,11.7766056786,10
11810.079,mp_ack,0,16,0.019,1,0,,0.0,11.8022036786,10
11839.94,mp_ack,0,16,0.03,1,0,,0.0,11.8320646786,10
11867.501,mp_ack,0,16,0.019,1,0,,0.0,11.859625678599999,10
11894.0,mp_ack,0,16,0.02,1,0,,0.0,11.8861246786,10
11925.18,mp_ack,0,16,0.031,1,0,,0.0,11.917304678599999,10
11957.456,mp_ack,0,16,0.025,1,0,,0.0,11.949580678599999,10
11987.363,mp_ack,0,16,0.031,1,0,,0.0,11.979487678599998,10
12014.906,mp_ack,0,16,0.025,1,0,,0.0,12.0070306786,10
12043.03,mp_ack,0,16,0.023,1,0,,0.0,12.0351546786,10
12070.622,mp_ack,0,16,0.025,1,0,,0.0,12.062746678599998,10
12101.347,mp_ack,0,16,0.024,1,0,,0.0,12.093471678599998,11
12134.047,mp_ack,0,16,0.027,1,0,,0.0,12.1261716786,11
12168.113,mp_ack,0,16,0.022,1,0,,0.0,12.160237678599998,11
12198.298,mp_ack,0,16,0.023,1,0,,0.0,12.1904226786,11
12224.249,mp_ack,0,16,0.02,1,0,,0.0,12.216373678599998,11
12247.859,mp_ack,0,16,0.027,1,0,,0.0,12.2399836786,11
12275.516,mp_ack,0,16,0.023,1,0,,0.0,12.2676406786,11
12298.472,mp_ack,0,16,0.023,1,0,,0.0,12.290596678599998,11
12299.106,mp_ack,0,16,0.017,1,0,,0.0,12.2912306786,11
12324.291,mp_ack,0,16,0.018,1,0,,0.0,12.316415678599999,11
12355.501,mp_ack,0,16,0.022,1,0,,0.0,12.3476256786,11
12379.809,mp_ack,0,16,0.024,1,0,,0.0,12.371933678599998,11
12400.292,mp_ack,0,16,0.025,1,0,,0.0,12.392416678599998,11
